"ID","NAME","DESCRIPTION","IID"
"BTQE","BTQE","CME AMSTERDAM B.V. - RFQ TRADING PROTOCOL",294
"BTQG","BTQG","BROKERTEC EUROPE LIMITED - RFQ TRADING PROTOCOL",295
"BTRL","BTRL","BANCA TRANSILVANIA S.A.",296
"BTUN","BTUN","TUNIS STOCK EXCHANGE (BOURSE DE TUNIS) - BONDS MARKET",297
"BULK","BULK","NASDAQ COMMODITIES - BULK COMMODITY",298
"BURG","BURG","BURGUNDY NORDIC MTF",299
"BURM","BURM","BURGUNDY REGULATED MARKET",300
"BUYN","BUYN","LCH LTD - BUY IN",301
"BVCA","BVCA","CARACAS STOCK EXCHANGE",302
"BVMF","BVMF","B3 S.A. - BRASIL BOLSA BALCAO",303
"BVUK","BVUK","BONDVISION UK",304
"BVUR","BVUR","BOLSA ELECTRONICA DE VALORES DEL URUGUAY",305
"BVUS","BVUS","BONDVISION US",306
"BYXD","BYXD","CBOE BYX U.S. EQUITIES EXCHANGE DARK",307
"BZXD","BZXD","CBOE BZX U.S. EQUITIES EXCHANGE DARK",308
"C2OX","C2OX","CBOE C2 OPTIONS EXCHANGE",309
"CABK","CABK","CAIXABANK - SYSTEMATIC INTERNALISER",310
"CABV","CABV","CME AMSTERDAM B.V. - APA",311
"CAES","CAES","CREDIT SUISSE AES CROSSFINDER",312
"CALH","CALH","CLSA AMERICAS - LIQUIDITY HUB",313
"CAND","CAND","CANDEAL.CA INC",314
"CANX","CANX","CANNEX FINANCIAL EXCHANGE LTS",315
"CAPA","CAPA","CBOE EUROPE - APA (NL)",316
"CAPI","CAPI","CAPI - OTF",317
"CAPL","CAPL","CREDIT AGRICOLE BANK POLSKA S.A. - SYSTEMATIC INTERNALISER",318
"CASI","CASI","CARNEGIE INVESTMENT BANK AB - SYSTEMATIC INTERNALISER",319
"CATS","CATS","CATS",320
"CAVD","CAVD","CAVENDISH MARKETS B.V.",321
"CAVE","CAVE","CAVEAT EMPTOR",322
"CAZE","CAZE","THE CAZENOVE MTF",323
"CBAE","CBAE","COMMONWEALTH BANK OF AUSTRALIA (EUROPE) N.V. - SYSTEMATIC INTERNALISER",324
"CBAL","CBAL","COMMONWEALTH BANK OF AUSTRALIA - LONDON BRANCH - SYSTEMATIC INTERNALISER",325
"CBKA","CBKA","COMMERZBANK AG",326
"CBKC","CBKC","COMMERZBANK  COMMODITY DERIVATIVES - SYSTEMATIC INTERNALISER",327
"CBKD","CBKD","COMMERZBANK EQUITY DERIVATIVES - SYSTEMATIC INTERNALISER",328
"CBKE","CBKE","COMMERZBANK EQUITY - SYSTEMATIC INTERNALISER",329
"CBKF","CBKF","COMMERZBANK COMMANDER - SYSTEMATIC INTERNALISER",330
"CBKG","CBKG","COMMERZBANK FIXED INCOME - SYSTEMATIC INTERNALISER",331
"CBKS","CBKS","COMMERZBANK INTEREST RATE SWAPS - SYSTEMATIC INTERNALISER",332
"CBLC","CBLC","CITIBLOC",333
"CBNL","CBNL","CITIBANK N.A. LONDON",334
"CBOE","CBOE","CBOE FX NDFS",335
"CBSK","CBSK","CESKOSLOVENSKA OBCHODNA BANKA, A.S. - SYSTEMATIC INTERNALISER",336
"CBSX","CBSX","CBOE STOCK EXCHANGE",337
"CBTS","CBTS","CME SWAPS MARKETS (CBOT)",338
"CCEU","CCEU","CITADEL CONNECT EUROPE - SYSTEMATIC INTERNALISER",339
